Icon,Name,Latitude,Longitude,Ell.Height (m),Code,Solution Type,PP Correction Status,Control,Note,Photo Notes,Layer,Source,Std Dev n (m),Std Dev e (m),Std Dev u (m),Std Dev Hz (m),Color,Point Symbol,Antenna Type,Antenna Height (m),Ant Height Method,Start Time,Stop Time,Duration,GPS Satellites,GLONASS Satellites,PDOP,HDOP,VDOP,Geoid Separation (m),Weighted residual n (m),Weighted residual e (m),Weighted residual u (m)
 ,20251209101609 2025-12-09 10:33:25.156472400 AM,31.81477206,54.64121527,1387.772,USER,Fixed,Corrected,None,376, ,BYCODE(0), ,0.014,0.011,0.013,0.018,         BYLAYER,  BYCODE, ,0,Vertical,12/9/2025 10:33, , , , ,1.344,0.684,1.157, , , , 
 ,20251209104520 2025-12-09 11:01:23.068995200 AM,31.80922545,54.6458712,1403.749,USER,Fixed,Corrected,None,347, ,BYCODE(0), ,0.016,0.011,0.014,0.019,         BYLAYER,  BYCODE, ,0,Vertical,12/9/2025 11:01, , , , ,1.72,0.763,1.541, , , , 
 ,20251209104520 2025-12-09 11:01:25.055753200 AM,31.80934746,54.64602456,1404.077,USER,Fixed,Corrected,None,348, ,BYCODE(0), ,0.016,0.011,0.014,0.019,         BYLAYER,  BYCODE, ,0,Vertical,12/9/2025 11:01, , , , ,1.72,0.763,1.541, , , , 
 ,20251209104520 2025-12-09 11:01:27.050685200 AM,31.80947036,54.64617834,1404.311,USER,Fixed,Corrected,None,349, ,BYCODE(0), ,0.016,0.011,0.014,0.019,         BYLAYER,  BYCODE, ,0,Vertical,12/9/2025 11:01, , , , ,1.72,0.763,1.541, , , , 
 ,20251209104520 2025-12-09 11:01:29.045689100 AM,31.80959318,54.64633251,1404.585,USER,Fixed,Corrected,None,350, ,BYCODE(0), ,0.016,0.011,0.014,0.019,         BYLAYER,  BYCODE, ,0,Vertical,12/9/2025 11:01, , , , ,1.72,0.763,1.541, , , , 
 ,20251209104520 2025-12-09 11:01:31.013745300 AM,31.80971366,54.64648399,1404.955,USER,Fixed,Corrected,None,351, ,BYCODE(0), ,0.016,0.011,0.014,0.019,         BYLAYER,  BYCODE, ,0,Vertical,12/9/2025 11:01, , , , ,1.72,0.763,1.542, , , , 
 ,20251209104520 2025-12-09 11:01:33.035584700 AM,31.80983792,54.64664089,1405.461,USER,Fixed,Corrected,None,352, ,BYCODE(0), ,0.016,0.011,0.014,0.019,         BYLAYER,  BYCODE, ,0,Vertical,12/9/2025 11:01, , , , ,1.72,0.763,1.542, , , , 
 ,20251209104520 2025-12-09 11:01:35.207720500 AM,31.80995492,54.64679209,1405.963,USER,Fixed,Corrected,None,353, ,BYCODE(0), ,0.016,0.011,0.014,0.019,         BYLAYER,  BYCODE, ,0,Vertical,12/9/2025 11:01, , , , ,1.72,0.763,1.542, , , , 
 ,20251209104520 2025-12-09 11:01:37.098796800 AM,31.80997378,54.6468589,1406.089,USER,Fixed,Corrected,None,354, ,BYCODE(0), ,0.016,0.011,0.014,0.019,         BYLAYER,  BYCODE, ,0,Vertical,12/9/2025 11:01, , , , ,1.721,0.763,1.542, , , , 
 ,20251209104520 2025-12-09 11:01:40.458039500 AM,31.80979493,54.64693206,1405.47,USER,Fixed,Corrected,None,355, ,BYCODE(0), ,0.016,0.012,0.014,0.019,         BYLAYER,  BYCODE, ,0,Vertical,12/9/2025 11:01, , , , ,1.721,0.763,1.542, , , , 
 ,20251209104520 2025-12-09 11:01:42.912396000 AM,31.80964113,54.64695515,1405.69,USER,Fixed,Corrected,None,356, ,BYCODE(0), ,0.016,0.012,0.014,0.019,         BYLAYER,  BYCODE, ,0,Vertical,12/9/2025 11:01, , , , ,1.721,0.763,1.543, , , , 
 ,20251209073132 2025-12-09 7:36:57.732669400 AM,31.84519406,54.62140369,1395.249,USER,Partial,Corrected,None,59, ,BYCODE(0), ,0.012,0.011,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical,12/9/2025 7:36, , , , ,1.49,0.71,1.31, , , , 
 ,20251209063040 2025-12-09 6:46:36.420736100 AM,31.85233627,54.61002394,1390.519,USER,Partial,Corrected,None,376, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,12/9/2025 6:46, , , , ,1.323,0.737,1.099, , , , 
 ,20251209063040 2025-12-09 6:43:14.056170000 AM,31.85293099,54.60786768,1389.01,USER,Partial,Corrected,None,282, ,BYCODE(0), ,0.016,0.013,0.014,0.021,         BYLAYER,  BYCODE, ,0,Vertical,12/9/2025 6:43, , , , ,1.339,0.774,1.093, , , , 
