Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 11/8/2025 8:09:00 AM,,,,
,,,,
,,,,
Alignment Name: tangchenar - mokhallason1,,,,
Description:,,,,
"Station Range: Start: 0+000.00, End: 0+552.83",,,,
,,,,
Point,Station,Offset,Elevation,Description
1034,0+260.58,1.530m,"1,004.336m",(as)as
1051,0+220.03,14.811m,"1,003.856m",(k)k
1514,0+550.77,-0.006m,"1,002.229m",(550.78(1))550.78(1)
1515,0+550.74,-1.352m,"1,002.320m",(as)as
1516,0+550.79,-7.678m,"1,002.437m",(550.78(3))550.78(3)
1517,0+550.69,-7.672m,"1,002.436m",(550.78(4))550.78(4)
1518,0+550.73,-8.112m,"1,002.380m",(550.78(5))550.78(5)
1519,0+550.78,-12.946m,"1,002.325m",(550.78(6))550.78(6)
1520,0+550.76,1.910m,"1,002.219m",(550.78(7))550.78(7)
1521,0+550.77,2.663m,"1,002.498m",(550.78(8))550.78(8)
1522,0+550.74,3.117m,"1,002.468m",(550.78(9))550.78(9)
1523,0+550.75,3.691m,"1,002.662m",(550.78(10))550.78(10)
1524,0+550.71,4.108m,"1,002.629m",(550.78(11))550.78(11)
1525,0+550.73,5.094m,"1,002.370m",(550.78(12))550.78(12)
1526,0+550.76,9.293m,"1,002.256m",(550.78(13))550.78(13)
1527,0+550.71,12.873m,"1,002.260m",(550.78(14))550.78(14)
1528,0+549.99,13.311m,"1,002.228m",(550(1))550(1)
1529,0+550.01,7.115m,"1,002.277m",(550(2))550(2)
1530,0+549.99,5.057m,"1,002.376m",(550(3))550(3)
1531,0+549.99,3.955m,"1,002.693m",(550(4))550(4)
1532,0+549.98,3.600m,"1,002.675m",(550(5))550(5)
1533,0+550.00,2.902m,"1,002.464m",(550(6))550(6)
1534,0+550.00,1.951m,"1,002.227m",(550(7))550(7)
1535,0+550.00,-0.000m,"1,002.235m",(550(8))550(8)
1536,0+549.99,-1.206m,"1,002.283m",(550(9))550(9)
1537,0+550.01,-1.436m,"1,002.329m",(as)as
1538,0+550.02,-4.897m,"1,002.442m",(550(11))550(11)
1539,0+549.99,-7.935m,"1,002.439m",(550(12))550(12)
1540,0+550.02,-8.155m,"1,002.391m",(550(13))550(13)
1541,0+550.02,-13.225m,"1,002.338m",(550(14))550(14)
1542,0+539.95,-12.191m,"1,002.439m",(540(18))540(18)
1543,0+540.04,-8.420m,"1,002.471m",(540(19))540(19)
1544,0+540.04,-8.203m,"1,002.503m",(540(20))540(20)
1545,0+539.99,-5.120m,"1,002.472m",(540(21))540(21)
1546,0+539.98,-1.647m,"1,002.359m",(540(22))540(22)
1547,0+539.97,-1.497m,"1,002.337m",(540(23))540(23)
1548,0+539.99,-0.001m,"1,002.237m",(540(24))540(24)
1549,0+539.98,1.563m,"1,002.140m",(540(25))540(25)
1550,0+540.01,3.936m,"1,002.244m",(540(26))540(26)
1551,0+539.98,5.487m,"1,002.363m",(540(27))540(27)
1552,0+540.03,7.504m,"1,001.783m",(540(28))540(28)
1553,0+539.92,8.761m,"1,001.185m",(540(29))540(29)
1554,0+539.98,10.873m,"1,001.843m",(540(30))540(30)
1555,0+520.06,7.189m,"1,002.679m",(manhul)manhul
1556,0+519.94,6.110m,"1,002.542m",(520(21))520(21)
1557,0+520.03,5.196m,"1,002.330m",(520(22))520(22)
1558,0+519.94,4.149m,"1,002.259m",(520(23))520(23)
1559,0+519.93,3.066m,"1,002.323m",(520(24))520(24)
1560,0+519.99,0.439m,"1,002.214m",(520(25))520(25)
1561,0+520.00,-0.005m,"1,002.241m",(520(26))520(26)
1562,0+520.00,-1.733m,"1,002.351m",(520(27))520(27)
1563,0+520.00,-2.058m,"1,002.388m",(as)as
1564,0+520.00,-5.213m,"1,002.493m",(520(29))520(29)
1565,0+520.02,-8.202m,"1,002.515m",(520(30))520(30)
1566,0+520.02,-8.877m,"1,002.478m",(520(31))520(31)
1567,0+519.99,-13.158m,"1,002.433m",(520(32))520(32)
1568,0+499.95,-13.172m,"1,002.158m",(500(22))500(22)
1569,0+500.08,-9.320m,"1,002.389m",(500(23))500(23)
1570,0+500.05,-7.818m,"1,002.489m",(500(24))500(24)
1571,0+500.03,-4.550m,"1,002.463m",(500(25))500(25)
1572,0+500.01,-1.368m,"1,002.367m",(as)as
1573,0+499.97,-1.121m,"1,002.291m",(500(27))500(27)
1574,0+500.01,0.002m,"1,002.273m",(500(28))500(28)
1575,0+499.99,1.543m,"1,002.187m",(500(29))500(29)
1576,0+500.01,5.497m,"1,002.157m",(500(30))500(30)
1577,0+499.96,11.454m,"1,002.203m",(500(31))500(31)
1578,0+480.00,4.773m,"1,002.151m",(480(22))480(22)
1579,0+479.98,2.208m,"1,002.292m",(480(23))480(23)
1580,0+479.97,0.537m,"1,002.387m",(480(24))480(24)
1581,0+479.99,-0.009m,"1,002.436m",(as)as
1582,0+479.98,-3.127m,"1,002.535m",(480(26))480(26)
1583,0+480.00,-6.490m,"1,002.554m",(480(27))480(27)
1584,0+480.04,-6.880m,"1,002.520m",(480(28))480(28)
1585,0+479.98,-10.028m,"1,002.309m",(480(29))480(29)
1586,0+460.00,-9.682m,"1,002.454m",(460(1))460(1)
1587,0+460.06,-7.749m,"1,002.671m",(460(2))460(2)
1588,0+460.02,-7.369m,"1,002.572m",(460(3))460(3)
1589,0+460.05,-5.374m,"1,002.693m",(460(4))460(4)
1590,0+460.02,-4.827m,"1,002.730m",(460(5))460(5)
1591,0+459.98,-1.822m,"1,002.726m",(460(6))460(6)
1592,0+459.99,0.011m,"1,002.683m",(460(7))460(7)
1593,0+460.01,2.545m,"1,002.645m",(460(8))460(8)
1594,0+460.00,2.850m,"1,002.614m",(460(9))460(9)
1595,0+460.03,5.223m,"1,002.518m",(460(10))460(10)
1596,0+460.02,6.299m,"1,002.628m",(460(11))460(11)
1597,0+459.96,6.735m,"1,002.462m",(460(12))460(12)
1598,0+460.11,8.821m,"1,002.365m",(460(13))460(13)
1599,0+440.01,7.693m,"1,002.905m",(440(1))440(1)
1600,0+440.04,6.533m,"1,002.759m",(440(2))440(2)
1601,0+440.02,5.775m,"1,002.632m",(440(3))440(3)
1602,0+440.03,4.406m,"1,002.701m",(440(4))440(4)
1603,0+440.04,4.268m,"1,002.741m",(as)as
1604,0+440.00,0.003m,"1,002.860m",(440(6))440(6)
1605,0+439.98,-4.572m,"1,002.895m",(440(7))440(7)
1606,0+440.01,-5.237m,"1,002.900m",(440(8))440(8)
1607,0+439.93,-8.242m,"1,002.731m",(440(9))440(9)
1608,0+439.99,-10.315m,"1,002.697m",(440(10))440(10)
1609,0+420.01,-16.410m,"1,002.661m",(420(1))420(1)
1610,0+419.93,-11.722m,"1,002.808m",(420(2))420(2)
1611,0+419.90,-8.104m,"1,002.949m",(420(3))420(3)
1612,0+419.88,-7.757m,"1,002.967m",(420(4))420(4)
1613,0+420.01,-4.408m,"1,002.954m",(420(5))420(5)
1614,0+419.99,0.003m,"1,002.858m",(420(6))420(6)
1615,0+420.01,2.897m,"1,002.716m",(420(7))420(7)
1616,0+420.00,3.106m,"1,002.662m",(420(8))420(8)
1617,0+420.01,3.909m,"1,002.692m",(420(9))420(9)
1618,0+419.95,7.277m,"1,003.062m",(420(10))420(10)
1619,0+419.98,8.966m,"1,002.890m",(420(11))420(11)
1620,0+419.99,10.486m,"1,002.990m",(420(12))420(12)
1621,0+399.89,14.761m,"1,003.167m",(400(1))400(1)
1622,0+400.01,9.565m,"1,003.122m",(400(2))400(2)
1623,0+399.89,8.858m,"1,003.274m",(400(3))400(3)
1624,0+399.83,8.391m,"1,003.276m",(400(4))400(4)
1625,0+399.88,8.057m,"1,003.138m",(400(5))400(5)
1626,0+399.83,7.863m,"1,003.141m",(400(6))400(6)
1627,0+399.86,7.369m,"1,003.209m",(400(7))400(7)
1628,0+399.81,6.955m,"1,003.006m",(400(8))400(8)
1629,0+399.84,6.709m,"1,003.052m",(400(9))400(9)
1630,0+399.76,6.291m,"1,003.083m",(400(10))400(10)
1631,0+399.76,5.842m,"1,002.973m",(400(11))400(11)
1632,0+399.94,2.953m,"1,002.765m",(400(12))400(12)
1633,0+399.95,2.721m,"1,002.850m",(as)as
1634,0+400.01,0.001m,"1,002.940m",(400(14))400(14)
1635,0+399.92,-3.216m,"1,002.977m",(400(15))400(15)
1636,0+399.90,-3.423m,"1,002.914m",(400(16))400(16)
1637,0+399.99,-6.718m,"1,002.861m",(400(17))400(17)
1638,0+400.06,-10.333m,"1,002.905m",(400(18))400(18)
1639,0+380.05,-9.650m,"1,002.636m",(380(1))380(1)
1640,0+379.99,-4.938m,"1,002.652m",(380(2))380(2)
1641,0+380.07,-4.134m,"1,003.132m",(380(3))380(3)
1642,0+380.03,-2.352m,"1,003.239m",(380(4))380(4)
1643,0+380.03,-2.222m,"1,003.292m",(as)as
1644,0+379.99,-0.014m,"1,003.192m",(380(6))380(6)
1645,0+380.02,3.665m,"1,002.997m",(380(7))380(7)
1646,0+380.00,3.797m,"1,002.926m",(380(8))380(8)
1647,0+379.99,8.130m,"1,003.067m",(380(9))380(9)
1648,0+380.00,9.858m,"1,003.068m",(380(10))380(10)
1649,0+380.02,10.884m,"1,003.198m",(380(11))380(11)
1650,0+379.97,11.401m,"1,003.085m",(380(12))380(12)
1651,0+359.94,12.085m,"1,002.533m",(360(1))360(1)
1652,0+360.08,10.463m,"1,002.487m",(360(2))360(2)
1653,0+360.18,9.061m,"1,002.528m",(360(3))360(3)
1654,0+360.17,6.457m,"1,002.497m",(360(4))360(4)
1655,0+360.03,5.139m,"1,002.969m",(360(5))360(5)
1656,0+359.97,4.151m,"1,003.057m",(360(6))360(6)
1657,0+359.95,4.023m,"1,003.106m",(360(7))360(7)
1658,0+360.01,0.004m,"1,003.395m",(360(8))360(8)
1659,0+360.03,-1.944m,"1,003.492m",(360(9))360(9)
1660,0+360.00,-2.097m,"1,003.458m",(360(10))360(10)
1661,0+360.00,-3.645m,"1,003.137m",(360(11))360(11)
1662,0+360.02,-4.778m,"1,002.519m",(360(12))360(12)
1663,0+360.00,-7.988m,"1,002.548m",(360(13))360(13)
1664,0+340.01,-8.040m,"1,003.023m",(340(1))340(1)
1665,0+340.02,-7.208m,"1,003.249m",(340(2))340(2)
1666,0+339.95,-3.845m,"1,003.570m",(340(3))340(3)
1667,0+339.91,-3.249m,"1,003.556m",(340(4))340(4)
1668,0+340.02,-2.121m,"1,003.777m",(340(5))340(5)
1669,0+339.99,-1.242m,"1,003.731m",(340(6))340(6)
1670,0+340.02,-0.011m,"1,003.640m",(340(7))340(7)
1671,0+340.03,4.095m,"1,003.339m",(340(8))340(8)
1672,0+340.03,4.210m,"1,003.297m",(340(9))340(9)
1673,0+340.03,8.234m,"1,003.150m",(340(10))340(10)
1674,0+340.06,9.481m,"1,003.193m",(340(11))340(11)
1675,0+340.07,10.048m,"1,003.456m",(340(12))340(12)
1676,0+320.07,10.594m,"1,003.565m",(320(1))320(1)
1677,0+320.07,10.262m,"1,003.346m",(320(2))320(2)
1678,0+319.90,9.848m,"1,003.344m",(320(3))320(3)
1679,0+319.81,6.558m,"1,003.396m",(320(4))320(4)
1680,0+319.87,5.242m,"1,003.420m",(320(5))320(5)
1681,0+319.81,4.579m,"1,003.606m",(320(6))320(6)
1682,0+319.83,4.041m,"1,003.620m",(320(7))320(7)
1683,0+319.85,3.914m,"1,003.672m",(320(8))320(8)
1684,0+320.01,0.011m,"1,003.811m",(320(9))320(9)
1685,0+320.01,-2.075m,"1,003.894m",(320(10))320(10)
1686,0+320.02,-2.198m,"1,003.865m",(320(11))320(11)
1687,0+319.98,-3.118m,"1,003.765m",(320(12))320(12)
1688,0+319.99,-4.575m,"1,003.296m",(320(13))320(13)
1689,0+320.03,-7.375m,"1,003.232m",(320(14))320(14)
1690,0+299.96,-17.112m,"1,003.373m",(300(1))300(1)
1691,0+299.95,-12.695m,"1,003.460m",(300(2))300(2)
1692,0+300.03,-7.089m,"1,003.515m",(300(3))300(3)
1693,0+300.00,-5.524m,"1,003.548m",(300(4))300(4)
1694,0+299.98,-3.920m,"1,004.059m",(300(5))300(5)
1695,0+299.99,-2.730m,"1,004.146m",(300(6))300(6)
1696,0+300.01,-0.015m,"1,004.017m",(300(7))300(7)
1697,0+299.99,3.302m,"1,003.862m",(300(8))300(8)
1698,0+299.97,3.436m,"1,003.795m",(300(9))300(9)
1699,0+300.04,5.047m,"1,003.675m",(300(10))300(10)
1700,0+300.02,5.357m,"1,003.469m",(300(11))300(11)
1701,0+299.97,8.958m,"1,003.352m",(300(12))300(12)
1702,0+300.06,11.441m,"1,003.351m",(300(13))300(13)
1703,0+300.08,12.064m,"1,003.547m",(300(14))300(14)
1704,0+279.89,12.484m,"1,003.495m",(280(1))280(1)
1705,0+280.05,8.449m,"1,003.621m",(280(2))280(2)
1706,0+280.08,5.471m,"1,003.732m",(280(3))280(3)
1707,0+280.07,4.745m,"1,003.923m",(280(4))280(4)
1708,0+280.03,2.458m,"1,004.074m",(280(5))280(5)
1709,0+280.04,2.355m,"1,004.101m",(as)as
1710,0+279.99,-0.001m,"1,004.214m",(280(7))280(7)
1711,0+279.96,-3.691m,"1,004.405m",(280(8))280(8)
1712,0+279.97,-3.863m,"1,004.350m",(280(9))280(9)
1713,0+280.05,-6.434m,"1,004.287m",(280(10))280(10)
1714,0+279.97,-9.719m,"1,004.040m",(280(11))280(11)
1715,0+259.99,-4.584m,"1,004.490m",(260(1))260(1)
1716,0+260.00,-5.271m,"1,004.823m",(260(2))260(2)
1717,0+259.99,-6.810m,"1,003.952m",(260(3))260(3)
1718,0+260.01,-7.091m,"1,004.055m",(260(4))260(4)
1719,0+259.97,-7.906m,"1,003.734m",(260(5))260(5)
1720,0+259.98,-8.572m,"1,003.678m",(260(6))260(6)
1721,0+260.02,-14.603m,"1,003.526m",(260(7))260(7)
1723,0+239.98,-9.881m,"1,003.835m",(240(2))240(2)
1724,0+240.05,-7.752m,"1,003.788m",(240(3))240(3)
1725,0+240.02,-5.926m,"1,005.102m",(240(4))240(4)
1726,0+239.99,-5.001m,"1,004.687m",(240(5))240(5)
1727,0+259.99,-2.513m,"1,004.510m",(260(8))260(8)
1728,0+260.01,0.009m,"1,004.387m",(260(9))260(9)
1729,0+260.00,1.509m,"1,004.340m",(260(10))260(10)
1730,0+259.99,1.601m,"1,004.301m",(260(11))260(11)
1731,0+260.02,2.650m,"1,004.244m",(260(12))260(12)
1732,0+260.01,4.121m,"1,003.967m",(260(13))260(13)
1733,0+259.96,8.026m,"1,004.019m",(260(14))260(14)
1734,0+260.03,11.326m,"1,003.976m",(260(15))260(15)
1735,0+259.97,14.253m,"1,003.871m",(260(13)(1))260(13)(1)
1736,0+239.95,16.879m,"1,003.822m",(240(6))240(6)
1737,0+239.96,13.714m,"1,003.925m",(240(7))240(7)
1738,0+240.00,9.579m,"1,003.930m",(240(8))240(8)
1739,0+239.98,2.753m,"1,003.836m",(240(9))240(9)
1740,0+239.97,2.038m,"1,004.164m",(240(10))240(10)
1741,0+239.99,0.711m,"1,004.398m",(240(11))240(11)
1742,0+239.97,0.542m,"1,004.444m",(240(12))240(12)
1743,0+240.00,-0.002m,"1,004.474m",(240(13))240(13)
1744,0+240.02,-2.457m,"1,004.595m",(240(14))240(14)
1745,0+239.99,-4.007m,"1,004.659m",(240(15))240(15)
1746,0+220.04,-11.147m,"1,004.814m",(220(13))220(13)
1747,0+220.00,-9.082m,"1,004.838m",(220(14))220(14)
1748,0+219.91,-7.858m,"1,004.944m",(220(15))220(15)
1749,0+219.86,-7.182m,"1,005.293m",(220(16))220(16)
1750,0+219.89,-6.528m,"1,004.956m",(220(17))220(17)
1751,0+219.96,-3.897m,"1,004.848m",(220(18))220(18)
1752,0+220.12,-0.681m,"1,004.647m",(as)as
1753,0+219.99,-0.022m,"1,004.516m",(220(20))220(20)
1754,0+219.90,1.070m,"1,004.274m",(220(21))220(21)
1755,0+220.00,1.584m,"1,003.992m",(220(22))220(22)
1756,0+220.03,6.446m,"1,003.903m",(220(23))220(23)
1757,0+220.00,12.034m,"1,003.886m",(220(24))220(24)
1758,0+220.02,14.837m,"1,003.862m",(220(25))220(25)
1759,0+199.95,15.586m,"1,003.874m",(200(10))200(10)
1760,0+199.97,10.332m,"1,004.040m",(200(11))200(11)
1761,0+200.07,6.432m,"1,004.148m",(200(12))200(12)
1762,0+200.05,3.391m,"1,004.250m",(200(13))200(13)
1763,0+200.04,1.788m,"1,004.441m",(200(14))200(14)
1764,0+200.00,-0.002m,"1,004.932m",(200(15))200(15)
1765,0+199.99,-1.793m,"1,005.059m",(200(16))200(16)
1766,0+199.98,-1.889m,"1,005.127m",(as)as
1767,0+200.00,-4.726m,"1,005.271m",(200(18))200(18)
1768,0+199.99,-7.721m,"1,005.412m",(200(19))200(19)
1769,0+200.02,-9.246m,"1,005.392m",(200(20))200(20)
1770,0+199.98,-10.267m,"1,005.451m",(200(21))200(21)
1771,0+179.96,-5.658m,"1,005.622m",(180(12))180(12)
1772,0+179.98,-2.279m,"1,005.521m",(180(13))180(13)
1773,0+180.00,-0.012m,"1,005.462m",(180(14))180(14)
1774,0+180.00,0.336m,"1,005.453m",(as)as
1775,0+180.00,0.542m,"1,005.374m",(180(16))180(16)
1776,0+180.00,2.427m,"1,005.298m",(180(17))180(17)
1777,0+179.99,5.119m,"1,004.778m",(180(18))180(18)
1778,0+179.98,6.634m,"1,004.591m",(180(19))180(19)
1779,0+180.01,11.376m,"1,004.342m",(180(20))180(20)
1780,0+180.07,13.887m,"1,004.268m",(180(21))180(21)
1781,0+159.96,18.729m,"1,004.500m",(160(7))160(7)
1782,0+160.04,14.087m,"1,004.625m",(160(8))160(8)
1783,0+160.04,10.709m,"1,004.801m",(160(9))160(9)
1784,0+159.95,8.045m,"1,005.092m",(160(10))160(10)
1785,0+159.96,4.781m,"1,005.610m",(160(11))160(11)
1786,0+159.98,3.394m,"1,005.627m",(160(12))160(12)
1787,0+159.97,3.313m,"1,005.692m",(160(13))160(13)
1788,0+159.99,-0.013m,"1,005.740m",(160(14))160(14)
1790,0+159.93,-2.666m,"1,005.787m",(160(16))160(16)
1791,0+159.97,-5.309m,"1,005.834m",(160(17))160(17)
1792,0+139.99,-2.244m,"1,005.988m",(140(9))140(9)
1793,0+140.01,-0.000m,"1,005.934m",(140(10))140(10)
1794,0+139.99,5.417m,"1,005.863m",(140(11))140(11)
1795,0+140.00,5.600m,"1,005.792m",(140(12))140(12)
1796,0+139.98,7.910m,"1,005.697m",(140(13))140(13)
1797,0+140.00,11.059m,"1,005.170m",(140(14))140(14)
1798,0+139.98,14.773m,"1,004.857m",(140(15))140(15)
1799,0+140.02,18.216m,"1,004.779m",(140(16))140(16)
1800,0+120.10,18.574m,"1,004.865m",(120(9))120(9)
1801,0+119.98,13.469m,"1,005.116m",(120(10))120(10)
1802,0+120.00,9.292m,"1,005.833m",(120(11))120(11)
1803,0+120.01,7.088m,"1,005.908m",(120(12))120(12)
