Distance,Offset,Elevation
0.0,-0.0,1094.048
0.0,-0.0,1094.048
0.0,0.0,1094.048
0.0,0.0,1094.048
0.0,0.0,1094.048
10.0,-0.0,1094.24
10.0,-0.0,1094.24
10.0,0.0,1094.24
10.0,0.0,1094.24
10.0,0.0,1094.24
20.0,-0.0,1094.432
20.0,-0.0,1094.432
20.0,0.0,1094.432
20.0,0.0,1094.432
20.0,0.0,1094.432
30.0,-5.3,1094.439
30.0,-3.6,1094.499
30.0,0.0,1094.625
30.0,3.6,1094.751
30.0,5.1,1094.721
40.0,-5.3,1094.632
40.0,-3.6,1094.691
40.0,0.0,1094.817
40.0,3.6,1094.943
40.0,5.1,1094.913
50.0,-5.3,1094.819
50.0,-3.6,1094.879
50.0,0.0,1095.005
50.0,3.6,1095.131
50.0,5.1,1095.101
60.0,-5.3,1094.997
60.0,-3.6,1095.056
60.0,0.0,1095.182
60.0,3.6,1095.308
60.0,5.1,1095.278
70.0,-5.3,1095.164
70.0,-3.6,1095.223
70.0,0.0,1095.349
70.0,3.6,1095.475
70.0,5.1,1095.445
80.0,-5.3,1095.321
80.0,-3.6,1095.38
80.0,0.0,1095.506
80.0,3.6,1095.632
80.0,5.1,1095.602
90.0,-5.3,1095.468
90.0,-3.6,1095.527
90.0,0.0,1095.653
90.0,3.6,1095.779
90.0,5.1,1095.749
100.0,-5.3,1095.604
100.0,-3.6,1095.663
100.0,0.0,1095.789
100.0,3.6,1095.915
100.0,5.1,1095.885
110.0,-5.3,1095.73
110.0,-3.6,1095.789
110.0,0.0,1095.915
110.0,3.6,1096.041
110.0,5.1,1096.011
120.0,-5.3,1095.846
120.0,-3.6,1095.905
120.0,0.0,1096.031
120.0,3.6,1096.157
120.0,5.1,1096.127
130.0,-5.3,1095.956
130.0,-3.6,1096.015
130.0,0.0,1096.141
130.0,3.6,1096.267
130.0,5.1,1096.237
140.0,-5.3,1096.066
140.0,-3.6,1096.125
140.0,0.0,1096.251
140.0,3.6,1096.377
140.0,5.1,1096.347
150.0,-5.3,1096.176
150.0,-3.6,1096.235
150.0,0.0,1096.361
150.0,3.6,1096.487
150.0,5.1,1096.457
159.612,-5.3,1096.281
159.612,-3.6,1096.341
159.612,0.0,1096.467
159.612,3.6,1096.593
159.612,5.1,1096.563
160.0,-5.3,1096.286
160.0,-3.6,1096.345
160.0,0.0,1096.471
160.0,3.6,1096.597
160.0,5.1,1096.567
170.0,-5.3,1096.396
170.0,-3.6,1096.455
170.0,0.0,1096.581
170.0,3.6,1096.707
170.0,5.1,1096.677
180.0,-5.3,1096.504
180.0,-3.6,1096.563
180.0,0.0,1096.689
180.0,3.6,1096.815
180.0,5.1,1096.785
190.0,-5.3,1096.601
190.0,-3.6,1096.661
190.0,0.0,1096.786
190.0,3.6,1096.912
190.0,5.1,1096.882
200.0,-5.3,1096.688
200.0,-3.6,1096.747
200.0,0.0,1096.873
200.0,3.6,1096.999
200.0,5.1,1096.969
210.0,-5.3,1096.764
210.0,-3.6,1096.824
210.0,0.0,1096.95
210.0,3.6,1097.076
210.0,5.1,1097.046
220.0,-5.3,1096.83
220.0,-3.6,1096.889
220.0,0.0,1097.015
220.0,3.6,1097.141
220.0,5.1,1097.111
230.0,-5.3,1096.884
230.0,-3.6,1096.943
230.0,0.0,1097.069
230.0,3.6,1097.195
230.0,5.1,1097.165
240.0,-5.3,1096.928
240.0,-3.6,1096.987
240.0,0.0,1097.113
240.0,3.6,1097.239
240.0,5.1,1097.209
250.0,-5.3,1096.961
250.0,-3.6,1097.021
250.0,0.0,1097.146
250.0,3.6,1097.272
250.0,5.1,1097.242
