n,D,Hs,c1,t,p1_diameter(mm),p1_n,p1_distance(cm),p1_L(m),p1_sh_i1,p1_sh_i2,p1_sh_i3,p1_sh_i4,p2_diameter(mm),p2_n,p2_distance(cm),p2_L(m),p2_sh_i1,p2_sh_i2,p2_sh_i3,p2_sh_i4,p3_diameter(mm),p3_n,p3_distance(cm),p3_L(m),p3_sh_i1,p4_diameter(mm),p4_n,p4_distance(cm),p4_L(m),p4_sh_i1,p4_sh_i2,p5_diameter(mm),p5_n,p5_distance(cm),p5_L(m),p5_sh_i1,p6_diameter(mm),p6_n,p6_distance(cm),p6_L(m),p6_sh_i1,p7_diameter(mm),p7_n,p7_distance(cm),p7_L(m),p7_sh_i1,p7_sh_i2,p7_sh_i3,p7_sh_i4,p8_diameter(mm),p8_n,p8_distance(cm),p8_L(m),p8_sh_i1,p9_diameter(mm),p9_n,p9_distance(cm),p9_L(m),p9_sh_i1,p9_sh_i2,p9_sh_i3,p9_sh_i4,p9_sh_i5,p0_diameter(mm),p0_n,p0_distance(cm),p0_L(m),p0_sh_i1,p0_sh_i2,p0_sh_i3,wight(kg/m),weight(kg)(start-end)
1,1,"(0.00, 0.25)",0.2,0.25,14,3.1,32,1.7,17,17,21,98,14,3.1,32,1.7,17,98,21,17,10,9,16,1,100,10,3.1,32,1.6,15,130,10,5,32,1,100,10,8*2,-,1,100,10,3.3*2,30,1.99,17,45,35,22,10,3*2,-,1.3,130,10,4.3*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,42.4,10.48
1,1,"(0.25, 0.60)",0.2,0.25,14,3.33,30,1.7,17,17,21,98,14,3.33,30,1.7,17,98,21,17,10,9,16,1,100,10,3.33,30,1.6,15,130,10,5,32,1,100,10,8*2,-,1,100,10,3.3*2,30,1.99,17,45,35,22,10,3*2,-,1.3,130,10,4.3*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,43.42,10.48
1,1,"(0.60, 6.00)",0.2,0.25,12,3.33,30,1.66,15,17,21,98,12,3.33,30,1.66,15,98,21,17,10,6,26,1,100,10,3.33,30,1.6,15,130,10,6,26,1,100,10,8*2,-,1,100,10,3.3*2,30,1.99,17,45,35,22,10,3*2,-,1.3,130,10,4.3*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,38.45,10.48
1,2,"(0.00, 0.25)",0.3,0.25,18,3.33,30,3,22,27,20,209,18,3.33,30,3,22,209,20,27,14,11,25,1,100,10,3.33,30,2.8,15,250,10,8,30,1,100,10,8*2,-,1,100,10,3.3*2,30,2.19,17,45,45,22,10,3*2,-,2.5,250,10,8.3*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,82.29,20.21
1,2,"(0.25, 0.60)",0.3,0.25,18,3.57,28,3,22,27,20,209,18,3.57,28,3,22,209,20,27,14,11,25,1,100,10,3.57,28,2.8,15,250,10,8,30,1,100,10,8*2,-,1,100,10,3.3*2,30,2.19,17,45,45,22,10,3*2,-,2.5,250,10,8.3*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,85.94,20.21
1,2,"(0.60, 2.00)",0.3,0.25,14,3.33,30,2.96,20,27,20,209,14,3.33,30,2.96,20,209,20,27,10,9,30,1,100,10,3.33,30,2.8,15,250,10,9,30,1,100,10,8*2,-,1,100,10,3.3*2,30,2.19,17,45,45,22,10,3*2,-,2.5,250,10,8.3*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,59.43,20.21
1,2,"(2.00, 4.00)",0.3,0.25,16,3.33,30,2.96,20,27,20,209,16,3.33,30,2.96,20,209,20,27,10,9,30,1,100,10,3.33,30,2.8,15,250,10,9,30,1,100,10,8*2,-,1,100,10,3.3*2,30,2.19,17,45,45,22,10,3*2,-,2.5,250,10,8.3*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,66.71,20.21
1,2,"(4.00, 5.00)",0.3,0.3,16,3.33,30,2.97,20,24,27,209,16,3.33,30,2.97,20,209,27,24,10,9,32,1,100,16,3.33,30,2.8,15,250,10,9,30,1,100,10,8*2,-,1,100,10,3.3*2,30,2.29,17,50,45,22,10,3*2,-,2.5,250,10,8.3*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,66.96,20.21
1,2,"(5.00, 6.00)",0.3,0.3,16,4,25,2.97,20,24,27,209,16,4,25,2.97,20,209,27,24,10,9,30,1,100,10,4,25,2.8,15,250,10,9,30,1,100,10,8*2,-,1,100,10,3.3*2,30,2.29,17,50,45,22,10,3*2,-,2.5,250,10,8.3*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,42.4,20.21
1,3,"(0.00, 0.25)",0.3,0.3,20,3.57,28,4.1,27,26,27,303,20,3.57,28,4.1,27,303,27,26,14,17,20,1,100,10,3.57,28,3.8,15,350,10,14,27,1,100,10,8*2,-,1,100,10,3.3*2,30,2.44,22,50,50,22,10,3*2,-,3.5,350,10,11.6*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,129.52,20.61
