No,Distance,L,L,L,L,L,CL,R,R,R,R,R,R,R,end
1,0,,,0.03,0.02,0,0,0,4.62,6.38,9.95,10.24,12.21,,
,,,,1063.589,1064.85,1064.85,1064.85,1064.85,1064.84,1065.28,1064.36,1064.352,1063.861,,
2,20,,,,3.04,0,0,0,2.27,6.25,9.35,11.34,11.87,,
,,,,,1064.28,1064.36,1064.36,1064.36,1064.36,1064.27,1064.23,1063.99,1063.85,,
3,31.73,,,,4.81,0,0,0,10.26,12.44,,,,,
,,,,,1064.48,1064.31,1064.31,1064.31,1064.26,1063.72,,,,,
4,40,,11.55,9.5,6.56,0,0,0,5.79,10.48,12.04,,,,
,,,1063.55,1064.34,1064.37,1064.26,1064.26,1064.26,1064.21,1064.18,1063.53,,,,
5,60,,,12.44,10.81,0,0,0,11,12.54,,,,,
,,,,1063.29,1063.83,1064.07,1064.07,1064.07,1064.08,1063.38,,,,,
6,80,,12.88,12.19,10.09,0,0,0,12.19,,,,,,
,,,1063.29,1063.52,1063.31,1063.71,1063.71,1063.71,1063.93,,,,,,
7,100,,10.66,10.51,8.76,0,0,0,10.75,13.07,,,,,
,,,1064.29,1064.05,1064.12,1064.43,1064.43,1064.43,1064.42,1063.61,,,,,
8,120,7.25,7.03,5.55,3.1,0,0,0,9.72,14.32,,,,,
,,1065.82,1065.87,1065.71,1064.96,1065.03,1065.03,1065.03,1065.18,1063.57,,,,,
9,120.19,,,4.86,2.93,0,0,0,9.5,16.09,,,,,
,,,,1065.89,1064.96,1065.03,1065.03,1065.03,1065.2,1063.59,,,,,
10,140,,,2.77,1.97,0,0,0,2.68,10.05,10.59,,,,
,,,,1066.63,1066.52,1066.43,1066.43,1066.43,1065.41,1065.52,1065.38,,,,
11,157.75,,,,0.01,0,0,0,2.59,4.13,10.61,11.25,12.12,,
,,,,,1067.03,1066.93,1066.93,1066.93,1066.58,1065.64,1065.47,1065.41,1065.12,,
12,200,,,,0.01,0,0,0,1.66,4.19,10.41,11.03,11.88,,
,,,,,1067.79,1067.67,1067.67,1067.67,1067.44,1066.27,1066.24,1066.17,1065.89,,
13,240,,,,0.01,0,0,0,1.57,3.08,4.21,10.76,11.65,12.55,
,,,,,1068.75,1068.6,1068.6,1068.6,1068.31,1067.34,1067,1067.01,1066.92,1066.62,
14,280,,,,0.01,0,0,0,1.51,4.06,11.04,11.67,12.87,,
,,,,,1069.49,1069.38,1069.38,1069.38,1069.19,1067.8,1067.77,1067.66,1067.25,,
15,320,,,,0.01,0,0,0,1.48,3.57,10.74,11.92,12.39,,
,,,,,1070.4,1070.28,1070.28,1070.28,1070.05,1068.83,1068.69,1068.48,1068.33,,
16,360,,,,0.01,0,0,0,1.26,3.11,10.11,11.98,12.08,,
,,,,,1071.18,1071.04,1071.04,1071.04,1070.95,1070.01,1069.64,1069.24,1069.21,,
17,367.75,,,,0.01,0,0,0,2.38,3.33,4.68,9.94,11.53,11.97,
,,,,,1071.33,1071.2,1071.2,1071.2,1070.61,1070.54,1069.83,1069.83,1069.54,1069.39,
18,400,,,,0.01,0,0,0,3.04,3.9,8.37,10.16,10.37,,
,,,,,1071.94,1071.82,1071.82,1071.82,1070.92,1070.59,1070.59,1070.1,1070.15,,
19,440,,,,0.01,0,0,0,1.99,3.64,7.79,8.84,9.18,,
,,,,,1072.84,1072.74,1072.74,1072.74,1072.28,1071.44,1071.39,1071.08,1070.97,,
20,457.74,,,,0.01,0,0,0,1.76,3.41,7.32,9.26,,,
,,,,,1073.16,1073.12,1073.12,1073.12,1072.82,1071.86,1071.75,1071.11,,,
