PROJECT COORDINATES,,,,,,,,,,,,
,,,,,,,,,,,,
Project Section Points,,,,,,,,,LEFT SIDE,,RIGHT SIDE,
No.,Name,Distance,PL,GL,L5,L4,L3,L2,L1,R1,R2,R3
1,1,0,1065.71,1063.59,,,0.03,0.01,0.01,4.05,5.55,12.21
,,,,,,,1063.589,1065.71,1065.71,1065.575,1065.525,1063.861
2,2,20,1065.544,1062.61,,,3.06,3.03,2.3,4.25,6.38,11.87
,,,,,,,1062.35,1065.637,1065.659,1065.331,1065.225,1063.853
3,KEEPG,31.73,1065.477,1062.507,,,4.83,4.8,3.65,4.25,6.75,12.44
,,,,,,,1062.891,1065.636,1065.659,1065.264,1065.139,1063.716
4,3,40,1065.453,1062.435,,,11.55,5.4,3.65,4.25,7.35,12.04
,,,,,,,1063.553,1065.601,1065.636,1065.241,1065.086,1063.525
5,4,60,1065.48,1062.26,,,12.44,5.42,3.65,4.25,7.35,12.54
,,,,,,,1063.286,1065.627,1065.662,1065.267,1065.112,1063.382
6,5,80,1065.623,1063.23,,,12.88,5.43,3.65,4.25,6.75,12.19
,,,,,,,1063.288,1065.77,1065.806,1065.411,1065.286,1063.927
7,6,100,1065.884,1063.64,,,10.66,5.44,3.65,4.25,7.35,13.07
,,,,,,,1064.291,1066.031,1066.067,1065.672,1065.516,1063.613
8,7,120,1066.26,1064.36,8.13,7.85,7.25,4.85,3.65,4.25,7.35,14.32
,,,,,1066.095,1065.819,1065.819,1066.419,1066.443,1066.048,1065.893,1063.573
9,KEEPG,120.19,1066.264,1064.381,,,4.86,4.85,3.65,4.25,6.75,16.09
,,,,,,,1065.891,1066.423,1066.447,1066.052,1065.927,1063.591
10,8,140,1066.677,1066.55,,,2.77,2.3,1.73,4.25,6.75,10.59
,,,,,,,1066.634,1066.753,1066.764,1066.465,1066.34,1065.381
11,KEEPG,157.75,1067.03,1067.05,0.08,0.01,0.01,0.01,0.01,4.05,7.15,12.12
,,,,,1067.099,1067.03,1067.03,1067.03,1067.03,1066.895,1066.771,1065.115
12,10,200,1067.79,1067.79,,,0.01,0.01,0.01,3.65,6.75,11.88
,,,,,,,1067.79,1067.79,1067.79,1067.717,1067.593,1065.885
13,11,240,1068.75,1068.75,,,0.01,0.01,0.01,3.65,6.75,12.55
,,,,,,,1068.75,1068.75,1068.75,1068.677,1068.553,1066.621
14,12,280,1069.49,1069.49,,,0.01,0.01,0.01,3.65,6.75,12.87
,,,,,,,1069.49,1069.49,1069.49,1069.417,1069.293,1067.254
15,13,320,1070.4,1070.4,,,0.01,0.01,0.01,3.65,6.75,12.39
,,,,,,,1070.4,1070.4,1070.4,1070.327,1070.203,1068.326
16,14,360,1071.18,1071.18,,,0.01,0.01,0.01,3.65,6.75,12.08
,,,,,,,1071.18,1071.18,1071.18,1071.107,1070.983,1069.209
17,KEEPG,367.75,1071.327,1071.327,,,0.01,0.01,0.01,3.65,6.75,11.97
,,,,,,,1071.327,1071.328,1071.328,1071.254,1071.13,1069.393
18,15,400,1071.94,1071.94,,,0.01,0.01,0.01,2.41,5.51,10.37
,,,,,,,1071.94,1071.94,1071.94,1071.892,1071.768,1070.15
19,16,440,1072.84,1072.84,,,0.01,0.01,0.01,0.88,3.98,9.18
,,,,,,,1072.84,1072.84,1072.84,1072.822,1072.698,1070.966
20,17,457.74,1073.16,1073.16,,,0.01,0.01,0.01,0.2,3.3,9.26
,,,,,,,1073.16,1073.16,1073.16,1073.156,1073.094,1071.109
