PROJECT COORDINATES,,,,,,,,,,,,
,,,,,,,,,,,,
Project Section Points,,,,,,,,,LEFT SIDE,,RIGHT SIDE,
No.,Name,Distance,PL,GL,L5,L4,L3,L2,L1,R1,R2,R3
1,1,0,1065.71,1064.85,,,0.02,0.01,0.01,4.05,5.55,10.73
,,,,,,,1064.85,1065.71,1065.71,1065.575,1065.525,1064.23
2,2,20,1065.544,1064.36,,,3.04,3.03,2.3,4.25,6.38,11.3
,,,,,,,1064.28,1065.637,1065.659,1065.331,1065.225,1063.995
3,KEEPG,31.73,1065.477,1064.31,,,4.81,4.8,3.65,4.25,6.75,10.93
,,,,,,,1064.48,1065.636,1065.659,1065.264,1065.139,1064.094
4,3,40,1065.453,1064.26,,,9.18,5.4,3.65,4.25,7.35,10.06
,,,,,,,1064.343,1065.601,1065.636,1065.241,1065.086,1064.183
5,4,60,1065.48,1064.07,,,11.26,5.42,3.65,4.25,6.75,11
,,,,,,,1063.682,1065.627,1065.662,1065.267,1065.142,1064.08
6,5,80,1065.623,1063.71,,,12.19,5.43,3.65,4.25,6.75,12.17
,,,,,,,1063.52,1065.77,1065.806,1065.411,1065.286,1063.93
7,6,100,1065.884,1064.43,,,10.67,5.44,3.65,4.25,7.35,10.64
,,,,,,,1064.29,1066.031,1066.067,1065.672,1065.516,1064.42
8,7,120,1066.26,1065.03,7.85,7.85,7.25,4.85,3.65,4.25,7.35,9.5
,,,,,1065.82,1065.819,1065.819,1066.419,1066.443,1066.048,1065.893,1065.177
9,KEEPG,120.19,1066.264,1065.03,,,4.86,4.85,3.65,4.25,6.75,16.1
,,,,,,,1065.888,1066.423,1066.447,1066.052,1065.927,1063.59
10,8,140,1066.677,1066.43,,,2.79,2.3,1.73,4.25,6.75,10.03
,,,,,,,1066.63,1066.753,1066.764,1066.465,1066.34,1065.52
11,KEEPG,157.75,1067.03,1066.93,,,0.01,0.01,0.01,4.05,7.15,11.23
,,,,,,,1067.03,1067.03,1067.03,1066.895,1066.771,1065.412
12,10,200,1067.79,1067.67,,,0.01,0.01,0.01,3.65,6.75,11.02
,,,,,,,1067.79,1067.79,1067.79,1067.717,1067.593,1066.171
13,11,240,1068.75,1068.6,,,0.01,0.01,0.01,3.65,6.75,12.55
,,,,,,,1068.75,1068.75,1068.75,1068.677,1068.553,1066.62
14,12,280,1069.49,1069.38,,,0.01,0.01,0.01,3.65,6.75,11.64
,,,,,,,1069.49,1069.49,1069.49,1069.417,1069.293,1067.666
15,13,320,1070.4,1070.28,,,0.01,0.01,0.01,3.65,6.75,12.02
,,,,,,,1070.4,1070.4,1070.4,1070.327,1070.203,1068.447
16,14,360,1071.18,1071.04,,,0.01,0.01,0.01,3.65,6.75,12.02
,,,,,,,1071.18,1071.18,1071.18,1071.107,1070.983,1069.227
17,KEEPG,367.75,1071.327,1071.2,0.01,0.01,0.01,0.01,0.01,3.65,6.75,11.52
,,,,,1071.33,1071.328,1071.328,1071.328,1071.328,1071.254,1071.13,1069.542
18,15,400,1071.94,1071.82,,,0.01,0.01,0.01,2.41,5.51,10.37
,,,,,,,1071.94,1071.94,1071.94,1071.892,1071.768,1070.15
19,16,440,1072.84,1072.74,,,0.01,0.01,0.01,0.88,3.98,8.85
,,,,,,,1072.84,1072.84,1072.84,1072.822,1072.698,1071.078
20,17,457.74,1073.16,1073.12,,,0.01,0.01,0.01,0.2,3.3,9
,,,,,,,1073.16,1073.16,1073.16,1073.156,1073.094,1071.195
