Icon,Name,Latitude,Longitude,Ell.Height (m),Code,Solution Type,PP Correction Status,Control,Note,Photo Notes,Layer,Source,Std Dev n (m),Std Dev e (m),Std Dev u (m),Std Dev Hz (m),Color,Point Symbol,Antenna Type,Antenna Height (m),Ant Height Method,Start Time,Stop Time,Duration,GPS Satellites,GLONASS Satellites,PDOP,HDOP,VDOP,Geoid Separation (m),Weighted residual n (m),Weighted residual e (m),Weighted residual u (m)
 ,20240708070102 2024-07-08 7:07:10.023922200 AM,31.11768788,53.21170105,1650.659,USER,Fixed,Corrected,None,2, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.737,0.723,1.579, , , , 
 ,20240708070102 2024-07-08 7:04:42.953615700 AM,31.11760672,53.21748155,1538.556,USER,Fixed,Corrected,None,1, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:04, , , , ,1.745,0.729,1.586, , , , 
 ,20240708070102 2024-07-08 7:07:13.915031700 AM,31.11764162,53.21191926,1650.29,USER,Fixed,Corrected,None,3, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.737,0.723,1.579, , , , 
 ,20240708070102 2024-07-08 7:07:15.968873300 AM,31.11759808,53.21213188,1650.331,USER,Fixed,Corrected,None,4, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.737,0.723,1.579, , , , 
 ,20240708070102 2024-07-08 7:07:17.949791200 AM,31.1175554,53.21233667,1650.529,USER,Fixed,Corrected,None,5, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.737,0.723,1.579, , , , 
 ,20240708070102 2024-07-08 7:07:19.941000700 AM,31.11751167,53.21254042,1650.81,USER,Fixed,Corrected,None,6, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.736,0.723,1.579, , , , 
 ,20240708070102 2024-07-08 7:07:21.965495300 AM,31.11746829,53.2127458,1650.901,USER,Fixed,Corrected,None,7, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.736,0.723,1.579, , , , 
 ,20240708070102 2024-07-08 7:07:23.960803700 AM,31.117426,53.21295209,1651.139,USER,Fixed,Corrected,None,8, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.736,0.723,1.578, , , , 
 ,20240708070102 2024-07-08 7:07:25.954067000 AM,31.11738359,53.21315256,1651.125,USER,Fixed,Corrected,None,9, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.736,0.723,1.578, , , , 
 ,20240708070102 2024-07-08 7:07:27.945386400 AM,31.1173421,53.21335641,1650.997,USER,Fixed,Corrected,None,10, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.736,0.723,1.578, , , , 
 ,20240708070102 2024-07-08 7:07:29.970014100 AM,31.11729956,53.21356236,1650.909,USER,Fixed,Corrected,None,11, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.736,0.724,1.578, , , , 
 ,20240708070102 2024-07-08 7:07:31.969552000 AM,31.11725667,53.21376761,1650.947,USER,Fixed,Corrected,None,12, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.736,0.724,1.578, , , , 
 ,20240708070102 2024-07-08 7:07:33.958969400 AM,31.11721311,53.21397029,1651.104,USER,Fixed,Corrected,None,13, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.736,0.724,1.578, , , , 
 ,20240708070102 2024-07-08 7:07:35.948495400 AM,31.11717112,53.21417083,1651.236,USER,Fixed,Corrected,None,14, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.736,0.724,1.578, , , , 
 ,20240708070102 2024-07-08 7:07:37.935891600 AM,31.11712893,53.21437175,1651.006,USER,Fixed,Corrected,None,15, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.736,0.724,1.578, , , , 
 ,20240708070102 2024-07-08 7:07:39.962821000 AM,31.1170854,53.21458124,1650.874,USER,Fixed,Corrected,None,16, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.735,0.724,1.577, , , , 
 ,20240708070102 2024-07-08 7:07:41.952371100 AM,31.11704315,53.21478523,1651.054,USER,Fixed,Corrected,None,17, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.735,0.724,1.577, , , , 
 ,20240708070102 2024-07-08 7:07:43.952340800 AM,31.11699999,53.21498766,1650.94,USER,Fixed,Corrected,None,18, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.735,0.724,1.577, , , , 
 ,20240708070102 2024-07-08 7:07:45.945870600 AM,31.11695632,53.21519203,1650.816,USER,Fixed,Corrected,None,19, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.735,0.724,1.577, , , , 
 ,20240708070102 2024-07-08 7:07:47.943662400 AM,31.11691354,53.2153964,1651.004,USER,Fixed,Corrected,None,20, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.735,0.724,1.577, , , , 
 ,20240708070102 2024-07-08 7:07:49.966479800 AM,31.11687048,53.21560334,1651.254,USER,Fixed,Corrected,None,21, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.735,0.724,1.577, , , , 
 ,20240708070102 2024-07-08 7:07:51.953970700 AM,31.11682773,53.21580476,1651.334,USER,Fixed,Corrected,None,22, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.735,0.724,1.577, , , , 
 ,20240708070102 2024-07-08 7:07:53.943351500 AM,31.1167853,53.21600724,1651.224,USER,Fixed,Corrected,None,23, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.735,0.724,1.576, , , , 
 ,20240708070102 2024-07-08 7:07:55.963915800 AM,31.11674209,53.21621351,1651.12,USER,Fixed,Corrected,None,24, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.735,0.724,1.576, , , , 
 ,20240708070102 2024-07-08 7:07:57.957639700 AM,31.11669933,53.21641679,1651.142,USER,Fixed,Corrected,None,25, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07, , , , ,1.735,0.724,1.576, , , , 
 ,20240708070102 2024-07-08 7:07:59.951344500 AM,31.11665445,53.21661837,1651.277,USER,Fixed,Corrected,None,26, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:07:60 AM, , , , ,1.734,0.724,1.576, , , , 
 ,20240708070102 2024-07-08 7:08:01.942921200 AM,31.11661059,53.21682064,1651.288,USER,Fixed,Corrected,None,27, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.734,0.724,1.576, , , , 
 ,20240708070102 2024-07-08 7:08:03.967569400 AM,31.11656604,53.21702682,1651.323,USER,Fixed,Corrected,None,28, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.734,0.724,1.576, , , , 
 ,20240708070102 2024-07-08 7:08:05.962914000 AM,31.11652292,53.21723064,1651.449,USER,Fixed,Corrected,None,29, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.734,0.724,1.576, , , , 
