No,Distance,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,CL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,end
1,107333.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,18.55,11.67,5.96,4.78,4.17,0,4.28,4.97,7.19,11,20.93,27.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451.55,1451.51,1451.3,1452.12,1452.197,1452.28,1452.555,1452.17,1452.22,1451.71,1451.37,1450.17,1449.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,107360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11.8,8.02,4.58,0.32,0,3.32,5.58,9.95,14.61,23.68,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452.19,1452.02,1452.61,1452.84,1452.93,1453.209,1452.816,1452.834,1451.52,1450.84,1450.65,1450.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,107400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.71,9.95,5.98,4.95,1.18,0,2.87,4.45,8.73,11.5,14.88,21.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453.06,1453.61,1453.79,1453.81,1453.89,1454.139,1453.9,1453.79,1452.63,1452.1,1451.82,1451.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,107440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.45,9.3,7.34,6.47,2.96,0,1.33,2.96,7.88,11.45,12.51,18.57,28.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453.97,1454.4,1454.57,1454.64,1454.71,1454.876,1454.6,1454.53,1453.32,1452.72,1452.46,1452.05,1451.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,107480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.93,14.43,10.37,9.78,1.79,0.45,0,4.39,5.77,6.43,14.13,20.67,26.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453.994,1454.77,1455.24,1455.28,1455.26,1455.26,1455.426,1453.5,1453.249,1452.95,1452.981,1452.518,1452.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,107500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98,11.01,2.86,1.28,0,2.95,4.18,4.51,8.87,13.35,19.52,27.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455.48,1455.47,1455.55,1455.45,1455.313,1453.92,1453.58,1453.368,1453.289,1453.299,1452.836,1452.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,107540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.45,14.44,6.15,4.29,0.75,0,0.97,1.23,5.27,8.48,15.65,25.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455.815,1456,1455.96,1455.94,1454.38,1454.52,1454.02,1453.77,1453.71,1453.75,1453.3,1453.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,107560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.32,7.66,6.39,2.77,1.38,0.93,0,11.02,13.68,23.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456.32,1456.28,1456.19,1454.71,1454.33,1454.11,1454.308,1453.84,1453.64,1453.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,107600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.57,11.49,9.75,6.07,3.75,0,6.77,9.82,17.37,21.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456.82,1456.74,1456.63,1455.18,1454.536,1454.77,1454.51,1454.07,1454.02,1453.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,107640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.32,15.14,13.3,9.78,7.25,0,4.85,14.69,15.89,21.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452.9,1457.27,1457.233,1455.76,1455.21,1455.36,1455.03,1454.62,1454.68,1454.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,107680,,,,,,,,,,,,,,,,,,,,,,,,,20,18.99,18.88,18.87,18.8,18.66,18.65,16.84,10.17,10.12,9.98,3.82,3.79,0.21,0,8.01,15.86,16.25,19.59,19.78,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1457.893,1457.9,1457.882,1457.862,1457.927,1457.841,1457.801,1457.796,1455.782,1455.753,1455.845,1455.878,1455.876,1455.462,1455.712,1455.146,1455.437,1455.408,1454.911,1454.833,1454.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,107720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.66,16.66,16.65,16.61,14.41,7.68,7.67,0,8.03,8.41,8.61,11.74,15.68,15.98,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458.186,1456.977,1457.027,1457.067,1457.044,1456.619,1456.753,1456.734,1456.335,1455.743,1455.783,1455.722,1455.6,1455.429,1455.433,1455.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,107730.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.11,13.18,11.23,9.77,8.92,6.18,4.37,1.12,1.01,0.58,0,3.39,3.8,4.31,7.02,8.2,9.48,9.9,11.02,11.42,13.18,14.97,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
